check,city,beta_primary,se_primary,p_primary,beta_nolanes,se_nolanes,p_nolanes,beta_neither,se_neither,p_neither,pct_primary,pct_nolanes,pct_neither,corr_p1_len,corr_len_aadt,median_len_m,beta_base,beta_lenctrl,beta_lenFE,metric,n,beta_alone,p_alone,beta_given_p1,se_given_p1,p_given_p1,ci_lo,ci_hi,pct_lo,pct_hi,predictor,beta_raw,beta_per_sd,pct_per_sd,form,r2_full,unique_config,unique_controls,ratio,group,n_p1_0,n_p1_1,term,beta,se,p,n_routes,spec,pct,n_used,n_total
variance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 route count (z),0.5461569275377866,0.0017632823985026524,0.06897061895439427,39.114902418899476,,,,,,,,,,,,
2x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no access control,30097.0,3603.0,,,,,,,,,
2x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,access-controlled,1918.0,261.0,,,,,,,,,
betw_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1:C(betw_tercile)[T.1],0.0018266863463627036,0.022519767455523323,0.9353506588419468,,,,,
betw_tercile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p1:C(betw_tercile)[T.2],0.007507593441732714,0.022888730399065565,0.7429086938619935,,,,,
route_fe,boston,,,,,,,,,,,,,,,,,,,,16005.0,,,,,,,,,,,,,,,,,,,,,,,-0.015153310986534574,0.014216194503414272,0.28646028607318885,532.0,,,,
route_fe,charlotte,,,,,,,,,,,,,,,,,,,,1065.0,,,,,,,,,,,,,,,,,,,,,,,-0.02212033415261272,0.043776678160687595,0.613348484860841,87.0,,,,
route_fe,denver,,,,,,,,,,,,,,,,,,,,1181.0,,,,,,,,,,,,,,,,,,,,,,,-0.10996888744865252,0.03545420876604945,0.0019240243209352997,202.0,,,,
route_fe,phoenix,,,,,,,,,,,,,,,,,,,,3012.0,,,,,,,,,,,,,,,,,,,,,,,-0.08156766577345523,0.03139250652098496,0.009368211768455887,168.0,,,,
route_fe,portland,,,,,,,,,,,,,,,,,,,,1899.0,,,,,,,,,,,,,,,,,,,,,,,-0.10370011754525657,0.034023659022948356,0.0023045996143012002,270.0,,,,
route_fe,wasatch_front,,,,,,,,,,,,,,,,,,,,1458.0,,,,,,,,,,,,,,,,,,,,,,,-0.08605114174062267,0.0402234195013153,0.032409004617347574,145.0,,,,
route_fe,POOLED,,,,,,,,,,,,,,,,,,,,24620.0,,,,,,,,,,,,,,,,,,,,,,,-0.04769743247425445,0.011936696658942342,6.445836715713649e-05,1404.0,,,,
composition,,,,,,,,,,,,,,,,,,,,,35879.0,,,,,,,,,,,,,,,,,,,,,,,-0.12326989681100158,0.00973880511853388,1.0155719279231115e-36,,"pooled, all cities (unweighted)",-11.59749651779075,,
composition,,,,,,,,,,,,,,,,,,,,,13790.0,,,,,,,,,,,,,,,,,,,,,,,-0.1948841497090116,0.015263309609317375,2.4697035476032875e-37,,"pooled, excluding Boston",-17.7070010787446,,
composition,,,,,,,,,,,,,,,,,,,,,35879.0,,,,,,,,,,,,,,,,,,,,,,,-0.18007088277076821,0.042074077956765515,,,"pooled, equal city weights",-16.47889927573504,,
missingness,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22089.0,24774.0
missingness,charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.0,1726.0
missingness,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2803.0,2964.0
missingness,phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3770.0,3941.0
missingness,portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3224.0,3478.0
